,0
0,環境負荷
1, 環境分析
2, フットプリント
3, マテリアルフロー分析
4, ライフサイクルアセスメント
5, 物質フロー分析
6, 環境経済
7, ライフサイクル評価
8, 地球温暖化
9, CO2
